dbn,school_name,building_ids
20K223,J.H.S. 223 The Montauk,K223
20K264,P.S. 264 Bay Ridge Elementary School For The Arts,K264
20K485,High School of Telecommunication Arts and Technology,K485
20K503,P.S. 503: The School of Discovery,K314
20K506,P.S. 506: The School of Journalism & Technology,K314
20K609,Urban Assembly School for Leadership and Empowerment,K223
20K682,The Academy of Talented Scholars,K237
20K686,Brooklyn School of Inquiry,K237
20K936,MS 936 Arts Off 3rd,K746
20K939,Sunset School of Cultural Learning,K746
21K096,I.S. 096 Seth Low,K096
21K100,P.S. 100 The Coney Island School,K100
21K128,P.S. 128 Bensonhurst,K128
21K215,P.S. 215 Morris H. Weiss,K215
21K225,P.S. K225 - The Eileen E. Zaglin,K225
21K238,P.S. 238 Anne Sullivan,K238
21K281,I.S. 281 Joseph B Cavallaro,K281
21K303,I.S. 303 Herbert S. Eisenberg,K303
21K329,P.S. 329 Surfside,K329
21K337,International High School at Lafayette,K400
21K344,Rachel Carson High School for Coastal Studies,K303
21K348,High School of Sports Management,K400
21K410,Abraham Lincoln High School,K410
21K468,Kingsborough Early College School,K400
21K525,Edward R. Murrow High School,K525
21K540,John Dewey High School,K540
21K559,Life Academy High School for Film and Music,K400
21K572,Leaders High School,K400
21K690,Brooklyn Studio Secondary School,K128
22K014,J.H.S. 014 Shell Bank,K014
22K078,J.H.S. 078 Roy H. Mann,K078
22K109,P.S. 109,K395
22K152,School of Science & Technology,K152
22K236,P.S. 236 Mill Basin,K236
22K240,Andries Hudde,K240
22K315,P.S. K315,K152
22K381,I. S. 381,K240
22K535,Leon M. Goldstein High School for the Sciences,K535
22K555,Brooklyn College Academy,"K555, K917"
22K611,Origins High School,K495
22K630,Professional Pathways High School,K495
22K889,P.S. 889,K338
22K890,M.S. 890,K338
23K150,P.S. 150 Christopher,K150
23K156,P.S. 156 Waverly,K356
23K178,P.S. 178 Saint Clair Mckelway,K178
23K284,"The Gregory Jocko Jackson School of Sports, Art, and Technology",K284
23K298,P.S. 298 Dr. Betty Shabazz,K298
23K323,P.S./I.S. 323,K263
23K327,P.S. 327 Dr. Rose B. English,K327
23K363,Brownsville Collaborative Middle School,K298
23K392,I.S. 392,K356
23K401,Christopher Avenue Community School,K332
23K446,Riverdale Avenue Community School,K183
23K493,Brooklyn Collegiate: A College Board School,K055
23K514,Frederick Douglass Academy VII High School,K175
23K518,Kappa V (Knowledge and Power Preparatory Academy),K275
23K522,Mott Hall IV,K271
23K599,Brooklyn Landmark Elementary School,K073
23K643,Brooklyn Democracy Academy,K275
23K644,Eagle Academy for Young Men II,K271
23K647,Metropolitan Diploma Plus High School,K275
23K664,Brooklyn Environmental Exploration School (BEES),K073
23K668,Riverdale Avenue Middle School,K183
23K671,Mott Hall Bridges Academy,K263
23K697,Teachers Preparatory High School,K175
24Q005,I.S. 5 - The Walter Crowley Intermediate School,Q005
24Q007,P.S. 007 Louis F. Simeone,"Q007, Q877"
24Q058,P.S. 58 - The School of Heroes,Q058
24Q110,P.S. 110,Q315
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",Q247
24Q211,Elm Tree Elementary School,Q298
24Q236,International High School for Health Sciences,Q455
24Q239,P.S. 239,Q239
24Q264,Academy of Finance and Enterprise,Q735
24Q267,High School of Applied Communication,Q735
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,Q290
24Q293,Civic Leadership Academy,Q744
24Q296,Pan American International High School,Q744
24Q299,Bard High School Early College Queens,Q735
24Q307,Pioneer Academy,Q260
24Q311,Corona Arts & Sciences Academy,Q311
24Q331,Mosaic Pre-K Center,"Q007, Q298, Q321, Q348, Q364, Q368, Q372, Q373, Q378, Q391, Q392, Q412, Q414, Q422, Q437, Q777, Q906, Q974"
24Q455,Newtown High School,Q455
24Q485,Grover Cleveland High School,Q485
24Q520,Middle College High School at LaGuardia Community College,Q520
24Q530,International High School at LaGuardia Community College,Q520
24Q585,Maspeth High School,Q585
24Q744,VOYAGES Preparatory,Q744
25Q025,I.S. 025 Adrien Block,Q025
25Q130,P.S. 130,Q130
25Q154,P.S. 154 Queens,Q154
25Q169,P.S. 169 Bay Terrace,Q169
25Q189,J.H.S. 189 Daniel Carter Beard,Q189
25Q209,P.S. 209 Clearview Gardens,Q209
25Q237,I.S. 237,Q237
25Q240,Veritas Academy,Q460
25Q241,Queens High School for Language Studies,Q460
25Q250,I.S. 250 The Robert F. Kennedy Community Middle School,Q168
25Q252,"Queens School of Inquiry, The",Q168
25Q263,Flushing International High School,Q189
25Q281,East-West School of International Studies,Q237
25Q285,World Journalism Preparatory: A College Board School,Q025
25Q294,BELL Academy,Q169
25Q460,Flushing High School,Q460
25Q499,"The Queens College School for Math, Science and Technology",Q499
25Q525,Townsend Harris High School,Q515
26Q026,P.S. 026 Rufus King,Q026
26Q041,P.S. 041 Crocheron,Q041
26Q186,P.S. 186 Castlewood,Q186
26Q191,P.S. 191 Mayflower,Q191
26Q205,P.S. 205 Alexander Graham Bell,Q205
26Q213,P.S. 213 The Carl Ullman School,Q213
26Q266,P.S./I.S. 266,Q266
26Q315,Business Technology Early College High School,Q435
26Q430,Francis Lewis High School,Q430
26Q435,Martin Van Buren High School,Q435
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",Q566
27Q042,P.S./M.S 042 R. Vernam,Q042
27Q043,P.S. 043,Q043
27Q053,M.S. 053 Brian Piccolo,Q053
27Q202,J.H.S. 202 Robert H. Goddard,Q202
27Q223,P.S. 223 Lyndon B. Johnson,Q223
27Q226,J.H.S. 226 Virgil I. Grissom,Q226
27Q253,P.S. 253,Q253
27Q254,P.S. 254 - The Rosa Parks School,Q254
27Q260,Frederick Douglass Academy VI High School,Q465
27Q261,Voyages Prep - South Queens,Q400
27Q262,Channel View School for Research,Q410
27Q282,Knowledge and Power Preparatory Academy VI,Q465
27Q297,Hawtree Creek Middle School,Q226
27Q302,"Queens High School for Information, Research, and Technology",Q465
27Q308,Robert H. Goddard High School of Communication Arts and Technology,Q202
27Q309,Academy of Medical Technology: A College Board School,Q465
27Q314,Epic High School - South,Q226
27Q317,Waterside Children's Studio School,Q225
27Q318,Waterside School For Leadership,Q225
27Q319,Village Academy,Q053
27Q324,Rockaway Park High School for Environmental Sustainability,Q410
27Q333,Goldie Maple Academy,Q198
27Q351,Rockaway Collegiate High School,Q410
27Q377,P.S. 377,Q335
27Q400,August Martin High School,Q400
27Q475,Richmond Hill High School,Q475
27Q480,John Adams High School,Q480
27Q650,"High School for Construction Trades, Engineering and Architecture",Q650
28Q008,J.H.S. 008 Richard S. Grossley,Q008
28Q040,P.S. 040 Samuel Huntington,Q040
28Q048,P.S. 048 William Wordsworth,Q276
28Q072,Catherine & Count Basie Middle School 72,Q072
28Q167,Metropolitan Expeditionary Learning School,Q686
28Q182,P.S. 182 Samantha Smith,Q277
28Q284,York Early College Academy,Q008
28Q287,The Emerson School,Q008
28Q310,Queens Collegiate: A College Board School,Q470
28Q312,Jamaica Children's School,Q040
28Q325,Hillside Arts & Letters Academy,Q470
28Q328,High School for Community Leadership,Q470
28Q332,Redwood Middle School,Q072
28Q338,Queens Satellite High School for Opportunity,Q595
28Q349,The Queens School for Leadership and Excellence,Q314
28Q350,Jamaica Gateway to the Sciences,Q470
28Q358,M.S. 358,Q314
28Q680,Queens Gateway to Health Sciences Secondary School,Q695
28Q686,Queens Metropolitan High School,Q686
28Q690,High School for Law Enforcement and Public Safety,Q690
29Q035,P.S. 035 Nathaniel Woodhull,Q035
29Q037,Cynthia Jenkins School,Q037
29Q059,I.S. 059 Springfield Gardens,Q059
29Q131,P.S. 131 Abigail Adams,"Q035, Q131"
29Q134,P.S. 134 Hollis,Q134
29Q136,P.S. 136 Roy Wilkins,Q136
29Q138,P.S./M.S. 138 Sunrise,Q138
29Q147,P.S./M.S. 147 Ronald McNair,Q147
29Q156,P.S. 156 Laurelton,Q156
29Q192,I.S. 192 The Linden,Q192
29Q208,P.S./I.S. 208,Q208
29Q238,I.S. 238 - Susan B. Anthony Academy,Q238
29Q243,Institute for Health Professions at Cambria Heights,Q490
29Q248,Queens Preparatory Academy,Q420
29Q251,P.S. 251 Queens,Q231
29Q259,Pathways College Preparatory School: A College Board School,Q192
29Q265,Excelsior Preparatory High School,Q420
29Q268,P.S./I.S. 268,Q268
29Q270,The Gordon Parks School,Q270
29Q272,George Washington Carver High School for the Sciences,Q420
29Q283,Preparatory Academy for Writers: A College Board School,Q420
29Q289,Queens United Middle School,Q156
29Q295,P.S./I.S. 295,Q263
29Q313,Benjamin Franklin High School for Finance & Information Technology,Q490
29Q355,Collaborative Arts Middle School,Q231
29Q356,Community Voices Middle School,Q231
29Q492,"Mathematics, Science Research and Technology Magnet High School",Q490
29Q498,Humanities & Arts Magnet High School,Q490
30Q017,P.S. 017 Henry David Thoreau,Q017
30Q076,P.S. 076 William Hallet,Q076
30Q078,P.S./I.S. 78Q,"Q312, Q868"
30Q111,P.S. 111 Jacob Blackwell,Q111
30Q126,Albert Shanker School for Visual and Performing Arts,Q126
30Q204,I.S. 204 Oliver W. Holmes,Q204
30Q234,P.S. 234,Q234
30Q235,Academy for New Americans,Q234
30Q258,Energy Tech High School,Q204
30Q291,Hunters Point Community Middle School,Q404
30Q300,The 30th Avenue School (G&T Citywide),"Q017, Q126"
30Q301,Academy for Careers in Television and Film,Q404
30Q384,P.S. 384,Q972
30Q389,District 30 Pre-K Center,"Q389, Q397, Q868, Q972"
30Q450,Long Island City High School,Q452
30Q501,Frank Sinatra School of the Arts High School,Q570
30Q502,Information Technology High School,Q725
30Q555,Newcomers High School,Q450
30Q575,Academy of American Studies,Q450
31R002,I.S. R002 George L. Egbert,R002
31R004,P.S. 004 Maurice Wollin,R004
31R006,P.S. 6 Corporal Allan F. Kivlehan School,R006
31R007,I.S. 007 Elias Bernstein,R007
31R010,Fort Hill Collaborative Elementary School,R016
31R016,P.S. 016 John J. Driscoll,R016
31R024,I.S. 024 Myra S. Barnes,R024
31R028,The Eagle Academy for Young Men of Staten Island,"R049, R082"
31R032,P.S. 032 The Gifford School,R032
31R036,P.S. 036 J. C. Drumgoole,R036
31R047,CSI High School for International Studies,R043
31R048,P.S. 048 William G. Wilcox,R071
31R049,I.S. 49 Berta A. Dreyfus,R049
31R058,Space Shuttle Columbia School,R058
31R061,I.S. 061 William A Morris,R061
31R063,Marsh Avenue School for Expeditionary Learning,R043
31R064,Gaynor McCown Expeditionary Learning School,R043
31R075,I.S. 075 Frank D. Paulo,R075
31R080,The Michael J. Petrides School,R880
31R440,New Dorp High School,R435
31R445,Port Richmond High School,R445
31R455,Tottenville High School,R455
31R861,Staten Island School of Civic Leadership,R861
32K168,The Brooklyn School for Math and Research,K480
32K291,J.H.S. 291 Roland Hayes,K291
32K347,I.S. 347 School of Humanities,K111
32K349,"I.S. 349 Math, Science & Tech.",K111
32K377,P.S. 377 Alejandrina B. De Gautier,K377
32K383,J.H.S. 383 Philippa Schuyler,K383
32K384,P.S. /I.S. 384 Frances E. Carter,K384
32K403,Academy for Excellence in Leadership,K480
32K549,The Brooklyn School for Social Justice,K480
32K552,The Academy of Urban Planning and Engineering,K480
32K554,All City Leadership Secondary School,K554
32K562,Evergreen Middle School for Urban Exploration,K296
32K564,Bushwick Community High School,K291
75K004,P.S. K004,"K007, K072, K081, K273, K395, K667, K798"
75K036,P.S. 36,"K192, K213, K224, K470, K857"
75K053,P.S. K053,"K088, K296, K384, K410, K422, K437, K535"
75K077,P.S. K077,"K164, K178, K555, K660, K902, K917"
75K140,P.S. K140,"K005, K021, K026, K258, K304"
75K141,P.S. K141,"K002, K035, K054, K071, K380"
75K231,P.S. K231,"K180, K215, K238, K264, K331"
75K368,P.S. 368,"K033, K120, K293, KBBY"
75K369,P.S. K369 - Coy L. Cox School,"K056, K067, K117, K261, K265, K313, K317, K369, K580"
75K370,P.S. 370,"K100, K237, K370, K445, K620, K807"
75K371,P.S. 371 - Lillian L. Rashkis,"K371, K485, K564"
75K372,P.S. 372 -The Children's School,"K113, K834"
75K373,P.S. 373 - Brooklyn Transition Center,"K148, K458, K804, K877, K909, K917, KBCA"
75K396,P.S. K396,"K167, K181, K263, K289, K327"
75K721,P.S. K721 - Brooklyn Occupational Training Center,"K231, K540, K722, KBSQ"
75K753,P.S. K753 - School for Career Development,"K061, K085, K232, K500, K600"
75K771,P.S. K771,"K014, K066, K225, K236, K303, K329, K128"
75K811,P.S. K811 Connie Lekas School,"K014, K281, K286, K525"
75M035,P.S. 035,"M058, M912, MANJ, MBGK"
75M079,P.S. M079 - Horan School,M079
75M094,P.S. M094,"M015, M061, M188, M276, M281, M338, M340, M971"
75M138,P.S. 138,"M030, M033, M048, M090, M108, M114, M117, M189, M380, M535"
75M169,P.S. M169 - Robert F. Kennedy,"M102, M146, M169, M435, M488"
75M226,P.S. M226,"M076, M185, M475, M477, M480, M660, M824, M875, MAMX"
75M721,P.S. M721 - Manhattan Occupational Training Center,"M047, M615, M641, M844, M883"
75M751,Manhattan School for Career Development,"M323, M440, M600, M751, M807, MBCW, MBEU"
75M811,P.S. M811 - Mickey Mantle School,"M101, M149, M155, M163, M200, M841"
75Q004,P.S. Q004,"Q138, Q161, Q179, Q213, Q270, Q667"
75Q009,P.S. 009,"Q005, Q009, Q058, Q209, Q268, Q277, Q882"
75Q075,Robert E. Peary School,"Q048, Q075, Q093, Q223, Q254, Q276, Q239"
75Q177,P.S. Q177,"Q139, Q177, Q190, Q263"
75Q224,P.S. Q224,"Q026, Q186, Q205, Q266, Q809"
75Q233,P.S. Q233,"Q025, Q042, Q134, Q142, Q226, Q335, Q650, Q686, Q835"
75Q255,P.S. Q255,"Q007, Q154, Q168, Q247, Q260, Q397, Q515, Q885, Q908"
75Q256,P.S. Q256,"Q043, Q114, Q198, Q253, Q410, Q816, QBHF, Q438"
75Q277,The Riverview School,"Q076, Q204, Q290, Q311, Q312, Q314, Q315, Q322, Q404, Q485, Q777"
75Q721,John F. Kennedy Jr. School,"Q585, Q722, Q725, QBFD, Q269"
75Q752,Queens Transition Center,"Q142, Q400, Q620, Q690, Q695, Q744"
75Q811,P.S. Q811,"Q037, Q136, Q147, Q227, Q405, Q430, Q566, Q811"
75Q993,P.S. Q993,"Q041, Q072, Q130, Q191, Q208, Q415, Q452, Q499, Q570"
75R025,South Richmond High School I.S./P.S. 25,"R007, R025, R034, R061, R075, R435, R445, R450, R455, R119, R826, RADL, R083"
75R037,The David Marquis School of the Arts,"R002, R004, R030, R032, R036, R840, R880, R089"
75R373,P.S. R373,"R006, R040, R058, R061, R071, R861, R884"
75R721,The Richard H. Hungerford School,"R024, R043, R435, R455, R600, R722, R843"
75X010,P.S. X010,"X015, X026, X060, X101, X129, X162, X240, X415, X817, X823"
75X012,P.S. X012 Lewis and Clark School,"X012, X125, X358"
75X017,P.S. X017,"X043, X156, X161, X174, X184, X450"
75X168,P.S. 168,"X020, X160, X183, X194, X440, X842"
75X176,P.S. X176,"X181, X425, X455, X980"
75X186,P186X Walter J. Damrosch School,"X136, X140, X146, X306, X392, X973"
75X188,P.S. X188,"X034, X120, X198, X790"
75X352,The Vida Bogart School for All Children,"X006, X040, X074, X075, X092"
75X469,P469X - The Bronx School for Continuous Learners,"X027, X042, X046, X147, X177, X410, X855"
75X596,P.S. X596,"X153, X178, X498"
75X721,P.S. X721 - Stephen McSweeney School,"X368, X405, X423, X440, X722"
75X723,P.S. 723,"X049, X099, X189, X235, X338, X425, X701, X909, X927, XAHW, XAIF"
75X754,J. M. Rapport School Career Development,"X155, X184, x362"
75X811,P.S. X811,"X084, X839, XARY"
79M331,The Judith S. Kaye School - D79,"M646, Q142"
79M645,School for Cooperative Technical Education,"K500, M079, M646, M827, Q142, Q452, Q465, RAAC, X039"
84K730,Summit Academy Charter School,K027
79M973,Restart Academy,"K055, K824, KBJH, KCBV, KCQH, M056, M465, M834, MAKG, MASF, MASJ, MBMU, OAUX, OAUY, Q400, Q410, Q460, QARD, QBEX, QBHI, QBNO, R445, RAIP, X655, X897, XAL"
79Q950,Pathways to Graduation,"K148, K371, K410, K420, K428, K455, K458, K515, K525, K540, K554, K590, K871, K893, KAUS, KBJL, KBJO, KBJQ, KBJR, KBJS, KCAF, KCAL, KCHF, KCQJ, M058, M46"
84K037,Beginning with Children Charter School II,"K071, KABV"
84K125,Success Academy Charter School - Bed-Stuy 2,K059
84K129,Success Academy Charter School - Cobble Hill,K293
84K182,Success Academy Charter School - Williamsburg,K050
84K333,Explore Exceed Charter School,"K022, K320"
84K355,Williamsburg Collegiate Charter School,K016
84K356,Achievement First Crown Heights Charter School,"K391, K434"
84K357,KIPP AMP Charter School,K390
84K358,Achievement First East New York Charter School,"K013, K065, K111"
84K360,Launch Expeditionary Learning Charter School,K243
84K367,Success Academy Charter School - Bed-Stuy 1,K033
84K379,Explore Excel Charter School,"K068, K114"
84K395,New Visions A.I.M. Charter High School I,K907
84K406,"EMBER Charter School for Mindful Education, Innovation and Transformation","K262, K308"
84K517,Leadership Prep Bedford Stuyvesant Uncommon Prep Charter School,"K258, K458"
84K536,Community Roots Charter School,"K067, K287"
84K538,Achievement First Bushwick Charter School,"K296, K383"
84K608,Kings Collegiate Charter School,"K232, K252, K420"
84K626,Achievement First Brownsville Charter School,"K055, K292"
84K648,Bedford Stuyvesant Collegiate Charter School,K324
84K649,La Cima Charter School,K324
84K652,Brooklyn Ascend Charter School,"KBGH, KBIN, KBVT"
84K680,Achievement First Aspire Charter School,"K202, K306"
84K693,Northside Charter High School,K126
84K701,Brooklyn Charter School,K023
84K702,Community Partnership Charter School,"K256, K270"
84K704,Explore Charter School,K002
84K707,Brooklyn Prospect Charter School,"KAGI, KDHM"
84K710,Brownsville Collegiate Charter School,K150
84K711,Leadership Preparatory Brownsville Charter School,"K275, K284"
84K712,Excellence Girls Charter School,"K191, K309, K434"
84K724,Leadership Prep Canarsie Charter School (Leadership Prep CS 4),"K211, K279"
84K733,"Math, Engineering, and Science Academy Charter High School",K291
84K736,New American Academy Charter School,K233
84K737,Brownsville Ascend Charter School,KBVT
84K738,New Visions Charter High School for Advanced Math and Science III,K495
84K739,New Visions Charter High School for the Humanities III,K495
84K741,Success Academy Charter School - Crown Heights,"K161, K246"
84K742,Explore Empower Charter School,K210
84K744,Coney Island Preparatory Public Charter School,"K281, K303, KAEG"
84K752,Success Academy Charter School - Fort Greene,K265
84K756,Success Academy Charter School - Prospect Heights,"K138, K297"
84K757,Unity Prep Charter School,"K044, KCVL"
84K769,Hyde Leadership Charter School- Brooklyn,"K328, KCVM"
84K772,Success Academy Charter School - Bensonhurst - New York 3,K096
84K774,Achievement First Apollo Charter School,"K292, K302"
84K775,Leadership Preparatory Ocean Hill Charter School,"K332, K515"
84K777,Ocean Hill Collegiate Charter School,"K221, K271"
84K780,Brooklyn East Collegiate Charter School,K458
84K781,Success Academy Charter School - Bergen Beach - New York 4,"K078, K864"
84K784,Achievement First North Brooklyn Prep Charter School,K377
84K788,Achievement First Linden Charter School,"K166, K218"
84K789,Compass Charter School,K113
84K803,Brooklyn LAB Charter School,"KCVO, KCKX, KCSH"
84K876,Achievement First Voyager Charter School,K092
84K883,Success Academy Charter School - Bed Stuy 3,K025
84K892,Brooklyn Emerging Leaders Academy Charter School,K057
84K910,Cypress Hills Ascend Charter School,KAKT
84K911,Edmund W. Gordon Brooklyn Laboratory Charter School,"KCVO, KCKX, KCSH"
84K928,Brooklyn Prospect Charter School 15.2,"KAGI, KDHM"
84K929,East Brooklyn Ascend Charter School,KAKT
84K956,Lamad Academy Charter School,K219
84M065,Democracy Prep Endurance Charter School,"M154, MADR"
84M068,KIPP NYC Washington Heights Academy Charter School,"M090, M115"
84M080,Manhattan Charter School II,M056
84M168,East Harlem Scholars Academy Charter School II,M013
84M170,Success Academy Charter School - Hell's Kitchen,M625
84M174,Success Academy Charter School - Union Square,"M460, MBMO"
84M279,The Opportunity Charter School,M113
84M284,Harlem Children's Zone Promise Academy 1 Charter School,M908
84M320,Manhattan Charter School,M142
84M329,Harlem Link Charter School,M185
84M330,Girls Preparatory Charter School of New York,"M060, M188"
84M335,Harlem Village Academy East Charter School,"M045, M280"
84M336,KIPP Infinity Charter School,"M195, XAVN"
84M337,NYC Autism Charter School East Harlem,M050
84M338,WHIN Music Community Charter School,M164
84M341,Harlem Children's Zone Promise Academy II Charter School,"M908, MANO"
84M350,Democracy Prep Charter School,"M092, M197"
84M351,Success Academy Charter School - Harlem 1,"M088, M149, M620"
84M358,Success Academy Charter School - Hudson Yards,MBMO
84M380,Harlem Village Academy West 2 Charter School,MAGD
84M382,DREAM Charter School,"M050, MBEK, MBMF, MBMR"
84M384,Success Academy Charter School - Harlem 2,"M030, M043"
84M385,Success Academy Charter School - Harlem 3,"M099, M101, M620"
84M386,Success Academy Charter School - Harlem 4,M113
84M388,St. HOPE Leadership Academy Charter School,M092
84M433,Renaissance Charter High School for Innovation,M099
84M481,Democracy Prep Harlem Charter School,"M081, M501, MAYS"
84M482,Success Academy Charter School - Harlem 5,"M123, M175"
84M518,East Harlem Scholars Academy Charter School,"M645, MBMC"
84M523,Success Academy Charter School - Upper West,"M470, M625"
84M708,Harlem Prep Charter School,"M121, MADR"
84M709,Harlem Village Academy West Charter School,"M194, M280, MAGD, MBTD"
84M726,KIPP STAR College Prep Charter School,"M125, M195"
84M861,Future Leaders Institute Charter School,M144
84Q304,VOICE Charter School of New York,"Q111, QALJ"
84Q320,New Visions Charter High School for Advanced Math and Science IV,Q400
84Q337,Success Academy Charter School - Rosedale - New York 5,"Q374, Q238"
84Q339,Success Academy Charter School - Springfield Gardens - New York 6,Q059
84Q359,Academy of the City Charter School,"QABE, QARF"
84Q372,Growing Up Green Charter School II,"QACG, QBZP"
84Q373,New Visions Charter High School for the Humanities IV,Q410
84Q375,Success Academy Charter School - Far Rockaway,Q053
84Q388,New Dawn Charter High School II,QBZP
84R012,New Ventures Charter School,RAHR
84R067,John W. Lavelle Preparatory Charter School,RAHR
84R070,Lois and Richard Nicotra Early College Charter School,RAHR
84R076,Bridge Preparatory Charter School,R880
84X124,Children's Aid College Prep Charter School,"X193, XBBN"
84X133,Icahn Charter School 6,"X004, XADA"
84X177,Mott Hall Charter School,X063
84X200,New Visions A.I.M. Charter High School II,X401
84X202,New Visions Charter High School for Advanced Math and Science II,X650
84X208,New Visions Charter High School for the Humanities II,X655
84X345,Hyde Leadership Charter School,"X074, XATU"
84X346,South Bronx Classical Charter School,X116
84X362,Icahn Charter School 7,"X093, X107"
84X364,South Bronx Classical Charter School II,"XBVI, X154"
84X378,Icahn Charter School 2,X498
84X380,Success Academy Charter School - Bronx 3,"X039, X145"
84X389,Bronx Global Learning Institute for Girls Charter School,X156
84X393,University Prep Charter High School,X162
84X422,Icahn Charter School 3,XAGA
84X464,Success Academy Charter School - Bronx 4 - New York 2,X131
84X465,Boys Preparatory Charter School of New York,XBCA
84X471,American Dream Charter School,"X030, XAXQ"
84X482,Dr. Richard Izquierdo Health and Science Charter School,X158
84X484,Bronx Charter School for Better Learning II,X144
84X487,Girls Preparatory Charter School of the Bronx,"X052, X120"
84X488,The Equality Charter School,"X160, XADU"
84X491,Academic Leadership Charter School,"X065, X155"
84X493,Success Academy Charter School - Bronx 1,X183
84X494,Success Academy Charter School - Bronx 2,"X022, X055"
84X496,Icahn Charter School 4,XAGA
84X538,Icahn Charter School 5,XAGA
84X539,New Visions Charter High School for Advanced Math and Science,X475
84X553,New Visions Charter High School for the Humanities,X475
84X554,New York City Montessori Charter School,XAFI
84X579,Bronx Charter School for Excellence II,"XACO, XADW"
84X581,South Bronx Community Charter School,X790
84X587,NYC Autism Charter School Bronx,X198
84X588,South Bronx Classical Charter School IV,XBVI
84X589,Bronx Charter School for Excellence 3,XAEF
84X597,Urban Assembly Charter School for Computer Science,X420
84X598,KIPP Freedom Charter School,"XBVH, X044"
84X608,Bronx Charter School for Excellence 4,XAEF
84X609,Zeta Charter Schools - Bronx 1,XADS
84X611,AECI II: NYC Charter High School for Computer Engineering and Innovation,XAFI
84X614,DREAM Mott Haven Charter School,XBPP
84X615,University Prep Charter Middle School,X155
84X617,KIPP Bronx III Charter School,X045
84X620,Bronx Charter School for Excellence 5,XADW
84X623,Neighborhood Charter School: Bronx,XBPP
84X628,Brilla Charter School Caritas,XAEG
84X629,Brilla Charter School PAX,XAEG
84X630,Girls Preparatory Charter School of the Bronx II,XBCA
84X631,Zeta Charter School - Bronx 3,XADS
84X632,Zeta Charter School - Bronx 2,XADS
84X704,KIPP Academy Charter School,"X151, X790, XAVN"
84X718,Bronx Charter School for Better Learning,X111
84X730,Bronx Charter School for the Arts,"X972, XAFM"
