dbn,school_name,building_ids
05M123,P.S. 123 Mahalia Jackson,M123
05M125,P.S. 125 Ralph Bunche,M125
05M129,P.S. 129 John H. Finley,M129
05M148,Eagle Academy for Young Men of Harlem,M136
05M154,P.S. 154 Harriet Tubman,M154
05M157,The Urban Assembly School for Global Commerce,M501
05M175,P.S. 175 Henry H Garnet,M175
05M194,P.S. 194 Countee Cullen,M194
05M197,P.S. 197 John B. Russwurm,M197
05M200,P.S. 200- The James McCune Smith School,M200
05M285,Harlem Renaissance High School,M911
05M286,Urban Assembly Academy for Future Leaders,M043
05M304,Mott Hall High School,M136
05M362,Columbia Secondary School,M125
05M369,Urban Assembly School for the Performing Arts,M043
05M371,School of Earth Exploration and Discovery Harlem (SEED Harlem),M129
05M514,New Design Middle School,M195
06M052,Harold O. Levy School,M052
06M103,Dos Puentes Elementary School,M132
06M115,P.S. 115 Alexander Humboldt,M115
06M128,P.S. 128 Audubon,M128
06M132,P.S. 132 Juan Pablo Duarte,M132
06M143,J.H.S. 143 Eleanor Roosevelt,M143
06M153,P.S. 153 Adam Clayton Powell,M153
06M173,P.S. 173,M173
06M189,P.S. 189,M189
06M192,P.S. 192 Jacob H. Schiff,M192
06M209,Hamilton Grange Middle School,M192
06M211,Inwood Early College for Health and Information Technologies,M052
06M293,City College Academy of the Arts,M218
06M311,Amistad Dual Language School,M176
06M314,Muscota,M176
06M319,M.S. 319 - Maria Teresa,M090
06M322,Middle School 322,M218
06M324,M.S. 324 - Patria Mirabal,M090
06M328,Community Math & Science Prep,M164
06M348,Washington Heights Expeditionary Learning School,M143
06M349,Harbor Heights,M173
06M423,High School for Excellence and Innovation,M052
06M462,The College Academy,M465
06M463,High School for Media and Communications,M465
06M467,High School for Law and Public Service,M465
06M468,High School for Health Careers and Sciences,M465
06M513,Castle Bridge School,M128
07X030,P.S. 030 Wilton,X030
07X031,P.S./M.S. 031 The William Lloyd Garrison,X151
07X043,P.S. 043 Jonas Bronck,X043
07X049,P.S. 049 Willis Avenue,X049
07X065,P.S. 065 Mother Hale Academy,X065
07X151,J.H.S. 151 Lou Gehrig,X151
07X154,P.S. 154 Jonathan D. Hyatt,X154
07X161,P.S. 161 Juan Ponce De Leon School,X161
07X179,P.S. 179,X040
07X221,South Bronx Preparatory: A College Board School,X149
07X223,The Laboratory School of Finance and Technology: X223,X149
07X224,P.S./I.S. 224,X139
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",X655
07X277,P.S. 277,X027
07X296,South Bronx Academy for Applied Media,X184
07X298,Academy of Public Relations,X184
07X334,International Community High School,X139
07X343,Academy of Applied Mathematics and Technology,X139
07X359,Concourse Village Elementary School,X156
